fecha,estacion,cape,cins
 20 Jul 2015, 72440, 912.91, -139.45
 21 Jul 2015, 72440, 297.49, -50.69
 22 Jul 2015, 72440, 180.12, -32.95
 23 Jul 2015, 72440, 6.77, -11.45
 24 Jul 2015, 72440, 1777.89, -59.55
 25 Jul 2015, 72440, 2042.11, -156.22
 26 Jul 2015, 72440, 1604.81, -88.34
 27 Jul 2015, 72440, 2213.62, -68.71
 28 Jul 2015, 72440, 1042.12, -140.68
 29 Jul 2015, 72440, 241.68, -126.41
 30 Jul 2015, 72440, 0.00, 0.00
 31 Jul 2015, 72440, 0.00, 0.00
 01 Aug 2015, 72440, 0.00, 0.00
 02 Aug 2015, 72440, 829.30, -59.23
 03 Aug 2015, 72440, 302.15, -128.81
 04 Aug 2015, 72440, 215.34, -136.37
 05 Aug 2015, 72440, 462.40, -120.93
 06 Aug 2015, 72440, 69.73, 0.00
 07 Aug 2015, 72440, 437.30, -373.21
 08 Aug 2015, 72440, 3227.38, -114.86
 09 Aug 2015, 72440, 1264.26, -176.82
 10 Aug 2015, 72440, 297.22, -179.45
 11 Aug 2015, 72440, 90.92, -10.66
 12 Aug 2015, 72440, 0.34, -36.51
 13 Aug 2015, 72440, 0.02, -39.23
 14 Aug 2015, 72440, 0.00, 0.00
 15 Aug 2015, 72440, 122.92, -179.62
 16 Aug 2015, 72440, 914.05, -27.49
 17 Aug 2015, 72440, 584.21, -76.08
 18 Aug 2015, 72440, 571.29, -121.82
 19 Aug 2015, 72440, 0.00, 0.00
 20 Aug 2015, 72440, 0.00, 0.00
 21 Aug 2015, 72440, 0.00, 0.00
 22 Aug 2015, 72440, 753.28, -114.39
 23 Aug 2015, 72440, 13.83, -227.43
 24 Aug 2015, 72440, 0.00, 0.00
 25 Aug 2015, 72440, 0.00, 0.00
 26 Aug 2015, 72440, 0.00, 0.00
 27 Aug 2015, 72440, 0.00, 0.00
 28 Aug 2015, 72440, 0.00, 0.00
 29 Aug 2015, 72440, 0.00, 0.00
 30 Aug 2015, 72440, 1336.98, -87.62
 31 Aug 2015, 72440, 1454.71, -98.45
 01 Sep 2015, 72440, 847.63, -118.51
 02 Sep 2015, 72440, 291.76, -85.24
 03 Sep 2015, 72440, 232.64, -151.79
 04 Sep 2015, 72440, 277.16, -176.98
 05 Sep 2015, 72440, 466.18, -101.33
